iter	Passed	Remaining
0	0	772
1	1	795
2	2	734
3	2	736
4	3	649
5	3	654
6	4	659
7	5	655
8	5	655
9	6	649
10	7	645
11	7	641
12	8	638
13	8	608
14	9	608
15	9	611
16	10	601
17	11	604
18	11	590
19	12	593
20	12	595
21	12	575
22	13	576
23	13	567
24	14	569
25	15	575
26	16	578
27	16	579
28	16	566
29	17	560
30	17	549
31	18	550
32	18	545
33	19	545
34	19	546
35	20	548
36	21	549
37	21	540
38	21	541
39	22	541
40	23	542
41	23	543
42	24	543
43	25	545
44	25	535
45	25	536
46	26	537
47	27	538
48	27	538
49	28	548
50	29	548
51	30	549
52	30	548
53	31	549
54	31	544
55	32	540
56	32	541
57	33	541
58	33	541
59	34	535
60	34	536
61	35	532
62	35	532
63	36	533
64	37	534
65	37	536
66	38	531
67	38	531
68	39	528
69	39	528
70	40	528
71	40	528
72	41	528
73	42	527
74	42	528
75	43	529
76	43	524
77	44	521
78	44	521
79	44	516
80	45	516
81	46	517
82	46	517
83	47	517
84	48	518
85	48	519
86	49	515
87	49	513
88	49	509
89	50	509
90	50	509
91	51	509
92	52	509
93	52	509
94	53	510
95	54	510
96	54	508
97	54	505
98	55	505
99	56	505
100	56	502
101	57	502
102	57	502
103	58	502
104	58	502
105	59	502
106	60	502
107	60	502
108	61	502
109	61	499
110	62	498
111	62	498
112	63	498
113	64	498
114	64	498
115	65	496
116	65	496
117	65	493
118	66	492
119	66	490
120	67	487
121	67	487
122	68	487
123	68	487
124	69	487
125	70	487
126	70	487
127	71	487
128	72	487
129	72	487
130	73	487
131	74	487
132	74	486
133	75	485
134	75	485
135	76	483
136	76	483
137	77	483
138	77	480
139	77	477
140	78	477
141	79	477
142	79	477
143	80	477
144	80	477
145	81	475
146	82	475
147	82	474
148	83	474
149	83	472
150	84	472
151	84	469
152	84	469
153	84	466
154	85	466
155	86	465
156	86	463
157	86	463
158	87	462
159	88	462
160	88	462
161	89	462
162	89	462
163	90	461
164	91	460
165	91	460
166	92	460
167	92	460
168	93	459
169	94	459
170	94	459
171	95	458
172	95	458
173	96	458
174	97	457
175	97	457
176	98	457
177	98	456
178	99	454
179	99	452
180	99	451
181	100	451
182	101	451
183	101	450
184	102	449
185	102	449
186	103	448
187	103	448
188	104	448
189	105	448
190	105	448
191	106	446
192	106	445
193	107	445
194	107	445
195	108	445
196	109	444
197	109	444
198	110	444
199	110	443
200	111	443
201	112	443
202	112	441
203	113	441
204	113	440
205	114	440
206	114	440
207	115	440
208	115	438
209	116	437
210	117	437
211	117	436
212	118	436
