study_id,instance,monomer_a,monomer_b,hb_ratio,hv_ratio,mw,mw_units,mn,mn_units,pdi,shape,thickness,units_thickness,surface,surface_units,diameter,diameter_units,length,length_units,additive,additive1_name,additive1_percentage,additive1_use,additive2_name,additive2_percentage,additive2_use,addtive3_name,additive3_percentage,additive3_use,polymer_percentage,iso,astm,assay,cell_line,cell_line_type,exposure_type,no_cells_per_well,inoculum_concentration_units,culture_medium,dilution_medium,concentration,concentration_units,dilution,incubation_time,incubation_time_units,incubation_temperature,incubation_temperature_units,co2_percentage,air,extraction_time,units_extraction_time,extraction_temperature,units_extraction_t,extraction_medium,extraction_surface_area_ratio,extraction_surface_area_ratio_units,number_of_cells_well,cell_viability_percentage,toxicity,ic_50,ic_50_units,growth_constant_μ,growth_constant_μ_units,rgr,toxicity_grade,zone_index,lysis_index,growth_inhibition_percentage
1,1,3hb,,100.0,0.0,243310.0,g/mol,28164.0,g/mol,8.64,film,42.6,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.0,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,90.99526,non-toxic,,,,,,,,,
1,2,3hb,,100.0,0.0,243310.0,g/mol,28164.0,g/mol,8.64,film,42.6,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,1.0,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,87.67773,non-toxic,,,,,,,,,
1,3,3hb,,100.0,0.0,243310.0,g/mol,28164.0,g/mol,8.64,film,42.6,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.1,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,94.78673,non-toxic,,,,,,,,,
1,4,3hb,,100.0,0.0,243310.0,g/mol,28164.0,g/mol,8.64,film,42.6,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.01,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,91.94313,non-toxic,,,,,,,,,
1,5,3hb,,100.0,0.0,243310.0,g/mol,28164.0,g/mol,8.64,film,42.6,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.001,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,84.83412,non-toxic,,,,,,,,,
1,6,3hb,3hv,81.0,19.0,271590.0,g/mol,79230.0,g/mol,3.4,film,13.22,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.0,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,105.21327,non-toxic,,,,,,,,,
1,7,3hb,3hv,81.0,19.0,271590.0,g/mol,79230.0,g/mol,3.4,film,13.22,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,1.0,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,157.1991,non-toxic,,,,,,,,,
1,8,3hb,3hv,81.0,19.0,271590.0,g/mol,79230.0,g/mol,3.4,film,13.22,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.1,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,140.75829,non-toxic,,,,,,,,,
1,9,3hb,3hv,81.0,19.0,271590.0,g/mol,79230.0,g/mol,3.4,film,13.22,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.01,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,101.4218,non-toxic,,,,,,,,,
1,10,3hb,3hv,81.0,19.0,271590.0,g/mol,79230.0,g/mol,3.4,film,13.22,μm,,,,,,,no,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,10993-5,,ldh,saos-2,human,indirect_contact,10000.0,cells/well,mccoy_5a_10fbs_ps_glu_pyr_hepes,dmem,,,0.001,72.0,hours,37.0,celsius,,,,,,,,0.5,cm^2/ml,,108.05687,non-toxic,,,,,,,,,
